tweet,time
"Traded in BN PE as per intraday levels and made very good profit in the morning.When Nifty traded below positional SSG and above SG near 18144 took Nifty CE as it is positionally bullish and waited for proper breakout.
@AutusInvestment
 @sglevel
 
#RDMPL #SGLogic #Traders #Nifty",2022-01-14T19:45:16.000Z
"Clean energy scripts :

Borosil renewables   

IEX 

Praj 

Websolar 

Swelect 

KPI global 

Sw solar 

Clean science

#Nifty #BSE",2022-01-14T19:45:16.000Z
"Budget 2022: Telecos Seek Refund Of Rs 35,000-Crore Input Tax Credit

Telecom sector wants the government to suspend universal service obligation fund (USOF), which financially supports rollout of telecom services in the rural area, to reduce burden on the service...
#Nifty …",2022-01-14T19:45:16.000Z
"#nifty Nifty should close above 18268,then we can touch 18383/18532 with support at 18047. For 20 expiry.#nifty50.#niftygrewal",2022-01-14T19:45:16.000Z
"Three(3) #STOCKS You are
BUYING / ADDING MORE
to your portfolio
In next 2 weeks
Before #Budget2022 ?

I'll share mine too
with complete thesis +
Exit strategy
by Saturday, the 15th Jan'22
#NiftyBank #Nifty #NiftyIT #NIFTYMETAL 

CC:
@charts_breakout
, @MA_RAnalyst
@MarketScientist",2022-01-14T19:45:16.000Z
"Budget To Offer Fiscal Support Amid Uncertainty From Third Wave: Report

The rising uncertainty from the third wave of the pandemic will force the forthcoming Budget to push the fiscal pedal more to support the fragile recovery, says a brokerage report.
#Nifty #stock #stockm…",2022-01-14T19:45:16.000Z
"#niftygrewal  When we can start everything with one,bs yeh ek kaam hojaye..bs ek gaadi le lu..bs ek achi ja acha life partner mil jaye..but Nifty ke lot 2 5 10 chahiye.start with just 1 lot for 10 points,then c the magic in 20 days #nifty50 #nifty",2022-01-14T19:45:16.000Z
#Ukraine crisis is rocket fuel for oil prices and a cascade for a jhatka at #Nifty,2022-01-14T19:45:16.000Z
Breakout/breakdown on cards #Nifty #NIFTYFUTURE,2022-01-14T19:45:16.000Z
"Why 98.10% people loose money in stock market ?

Because they r comparing their stock with peers of same industry, they aren't looking health of industry. #Nifty
It's like ""not only I have failed in class but entire class have failed but I have failed with 35% hence I'm number 1""",2022-01-14T19:45:16.000Z
"Expecting #happiestmind to do well post 1350. Keep holding this for long term. Next infosys in making .
#bullforever #happiestmind #stocks #markets #nifty",2022-01-14T19:45:16.000Z
"Why can't we see Date wise P&L summary on Angel Broking Account? Plz Reply Soon
@AngelOne
 

#OptionsTrading #Options #optiontrading #OptionsTrader #Nifty #nifty50 #NIFTYFUTURE #Niftybank",2022-01-14T19:45:16.000Z
"Is Hero Motors the next ITC..?
#Nifty",2022-01-14T19:45:16.000Z
"Dow Jones is breaking down. 
So stay alert in Nifty as well.

Pre budget euphoria might be shortlived if world market doesn't sustain and push higher.

#Nifty #nifty50 #banknifty",2022-01-14T19:45:16.000Z
"Budget 2022: Telecos Seek Refund Of Rs 35,000-Crore Input Tax Credit

Telecom sector wants the government to suspend universal service obligation fund (USOF), which financially supports rollout of telecom services in the rural area, to reduce burden on the service...
#Nifty …",2022-01-14T19:08:50.000Z
"#nifty Nifty should close above 18268,then we can touch 18383/18532 with support at 18047. For 20 expiry.#nifty50.#niftygrewal",2022-01-14T19:08:50.000Z
"Three(3) #STOCKS You are
BUYING / ADDING MORE
to your portfolio
In next 2 weeks
Before #Budget2022 ?

I'll share mine too
with complete thesis +
Exit strategy
by Saturday, the 15th Jan'22
#NiftyBank #Nifty #NiftyIT #NIFTYMETAL 

CC:
@charts_breakout
, @MA_RAnalyst
@MarketScientist",2022-01-14T19:08:50.000Z
"Budget To Offer Fiscal Support Amid Uncertainty From Third Wave: Report

The rising uncertainty from the third wave of the pandemic will force the forthcoming Budget to push the fiscal pedal more to support the fragile recovery, says a brokerage report.
#Nifty #stock #stockm…",2022-01-14T19:08:50.000Z
